countrycode,group,groupvalue,sr,round,indicator,grouplabel,regid,value,ss,se,month,year,disagreggation,last,country,iso2,sp_pop_totl,regioncode,regionname,theme,abs
MWI,location,1,wb,1,govtsupport,Urban,,98.264633,617,.52614295,,,1,,Malawi,MW,19130000,SSF,Sub-Saharan Africa,sp,3574733.3
COL,wealth,5,ipa,1,healthseeking,Richest 20%,,45.878136,279,2.9885936,,,1,1,Colombia,CO,50883000,LCN,Latin America and Caribbean,hn,1173736
CIV,wealth,1,ipa,1,fsec,Poorest 20%,,53.521126,284,2.9648123,,,1,1,Cote d'Ivoire,CI,26378000,SSF,Sub-Saharan Africa,hn,1466046.8
CRI,all,,wb_dashboard,1,govtsupport,National average,,68.303116,801,,5,2020,0,,Costa Rica,CR,5094000,LCN,Latin America and Caribbean,sp,1097491.8
MLI,poor,0,wb,4,healthseeking,Non poor,,3.1382141,956,.56417751,,,1,,Mali,ML,20251000,SSF,Sub-Saharan Africa,hn,254219.81
BFA,location,2,wb,2,healthseeking,Rural,,1.6677704,354,.68159842,,,1,,Burkina Faso,BF,20903000,SSF,Sub-Saharan Africa,hn,68717.047
SLE,location,1,ipa,1,remotelearning,Urban,,20.3125,768,1.4527106,,,1,1,Sierra Leone,SL,7977000,SSF,Sub-Saharan Africa,ed,468796.59
MLI,poor,1,wb,2,govtsupport,Poor,,95.195778,514,.94419527,,,1,,Mali,ML,20251000,SSF,Sub-Saharan Africa,sp,3054592.8
MLI,poor,1,wb,3,fsec,Poor,,18.571766,501,1.7391182,,,1,,Mali,ML,20251000,SSF,Sub-Saharan Africa,hn,575915.63
ETH,all,,wb,2,govtsupport,National average,,96.311783,3107,1.7868855,5,2020,1,,Ethiopia,ET,114964000,SSF,Sub-Saharan Africa,sp,58109144
PRY,all,,wb_dashboard,3,remotelearning,National average,,6.5597992,269,,8,2020,0,1,Paraguay,PY,7133000,LCN,Latin America and Caribbean,ed,115075.93
UGA,location,2,wb,2,healthseeking,Rural,,12.059593,1025,1.0176785,,,1,1,Uganda,UG,45741000,SSF,Sub-Saharan Africa,hn,2277144.5
MLI,poor,0,wb,1,fsec,Non poor,,25.357525,1318,1.1988188,,,1,,Mali,ML,20251000,SSF,Sub-Saharan Africa,hn,2068665.1
